cert,level,product,role,subject,renewal_frequency,last_updated,retirement_date,overview,skills_measured
azure-fundamentals,Beginner,Azure,Administrator,,,1/23/2024,,"As a candidate for this certification, you’re a technology professional who wants to demonstrate foundational knowledge of cloud concepts in general and Microsoft Azure in particular. This certification is a common starting point in a journey towards a career in Azure. You can describe Azure architectural components and Azure services, such as: ComputeNetworkingStorage You can also describe features and tools to secure, govern, and administer Azure. You should have skills and experience working with an area of IT, such as: Infrastructure managementDatabase managementSoftware development You may be eligible for ACE college credit if you pass this certification exam. SeeACE college credit for certification examsfor details.","Describe cloud concepts, Describe Azure architecture and services, Describe Azure management and governance"
azure-network-engineer-associate,Intermediate,Azure,Network Engineer,Technical infrastructure,12 months,7/26/2024,,"As a candidate for this certification, you should have subject matter expertise in planning, implementing, and managing Azure networking solutions, including: Core network infrastructureHybrid connectivityApplication delivery servicesPrivate access to Azure servicesNetwork security As an Azure network engineer your responsibilities include optimizing performance, resiliency, scale, and security of Azure networking solutions. You proactively monitor network environments to identify issues and minimize risk. You also identify and resolve connectivity issues. To deliver Azure solutions, you work with: Solution architectsCloud administratorsSecurity engineersApplication developersDevOps engineers As a candidate for this certification, you should have experience creating and managing compute, storage, and networking resources in Azure. You should understand networking fundamentals, such as: Name resolutionNetwork protocolsNetwork address management","Design and implement core networking infrastructure, Design, implement, and manage connectivity services, Design and implement application delivery services, Design and implement private access to Azure services, Secure network connectivity to Azure resources"
azure-security-engineer,Intermediate,Azure,Security Engineer,Security,12 months,7/31/2024,,"As the Azure security engineer, you implement, manage, and monitor security for resources in Azure, multi-cloud, and hybrid environments as part of an end-to-end infrastructure. You recommend security components and configurations to protect the following: Identity and accessDataApplicationsNetworks Your responsibilities as an Azure security engineer include: Managing the security posture.Identifying and remediating vulnerabilities.Performing threat modelling.Implementing threat protection. You may also participate in responding to security incidents. As an Azure security engineer, you work with architects, administrators, and developers to plan and implement solutions that meet security and compliance requirements. You should have: Practical experience in administration of Microsoft Azure and hybrid environments.Strong familiarity with compute, network, and storage in Azure and Microsoft Entra ID.","Manage identity and access, Secure networking, Secure compute, storage, and databases, Manage security operations"
azure-virtual-desktop-specialty,Intermediate,Azure,Administrator,,12 months,7/29/2024,,"As a candidate for this certification, you should be a server or desktop administrator with subject matter expertise in designing, implementing, managing, and maintaining Microsoft Azure Virtual Desktop experiences and remote apps for any device. To deliver these experiences, you should work closely with: Azure administratorsAzure architectsMicrosoft 365 administratorsAzure security engineersAzure Stack HCI administrators You should have experience with Azure technologies, including: ComputeNetworkingIdentityStorageResiliency You should be able to manage end-user desktop environments, including delivering applications and configuring user settings. You should use the Azure portal, templates, scripting, and command-line tools to manage an Azure Virtual Desktop deployment.","Plan and implement an Azure Virtual Desktop infrastructure, Plan and implement identity and security, Plan and implement user environments and apps, Monitor and maintain an Azure Virtual Desktop infrastructure"
d365-business-central-developer-associate,Intermediate,Dynamics 365,Business Analyst,Business applications,12 months,,,"As a Microsoft Dynamics 365 Business Central developer, you’re responsible for designing, developing, testing, and maintaining solutions based on Dynamics 365 Business Central. In this role, you develop apps that extend Business Central, including customizing or adding extra functionality. You also integrate Business Central with other applications, such as Microsoft Power Platform products. Plus, you need to ensure that data remains current during an upgrade process. As a Business Central developer, you’re responsible for troubleshooting and debugging issues in the system. This may involve: Identifying the root cause of a problem.Fixing bugs.Testing the solution to ensure that it works as expected. You may be required to optimize the performance of the system by: Identifying bottlenecks.Improving code quality. You must have applied knowledge of Business Central and the application language (AL), the development environment, and other tools to develop extensions for it. You need some knowledge of how to install and upgrade the system. You should also understand: Industry terminology.The Business Central role in relationship to Microsoft 365 and Dynamics 365. As a developer, you should have knowledge of: AppSource, Business Central–related technologies, frameworks, and services to build solutions.Technologies for application lifecycle management (ALM), including source control management (SCM) and continuous integration and continuous delivery (CI/CD). Important The English language version of this certification will be updated on September 18, 2024. Review the study guide linked in the Certification resources section for details about upcoming changes.","Describe Business Central, Install, develop, and deploy for Business Central, Develop by using AL objects, Develop by using AL, Work with development tools, Integrate Business Central with other applications"
d365-business-central-functional-consultant-associate,Intermediate,Dynamics 365,Functional Consultant,Business applications,12 months,3/25/2024,,"As a candidate for this certification, you’re a functional consultant who implements core application setup processes for small and medium businesses. You configure the application in collaboration with the implementation team to provide the business with manageability and ease of use. You implement and configure Microsoft Dynamics 365 Business Central including: Setting up core functionality and modules, including:Financial managementSalesPurchasingInventoryMigrating data to Business Central. Financial managementSalesPurchasingInventory You have applied knowledge of meeting business needs by specializing in one or more feature sets of Business Central. As a candidate, you may configure role centers including adapting insights, cues, action tiles, reports, and charts.
You also may expand functionality by using extensions. You also understand how Business Central connects to: Microsoft 365Microsoft Power PlatformDynamics 365 You may be eligible for ACE college credit if you pass this certification exam. SeeACE college credit for certification examsfor details.","Set up Business Central, Configure financials, Configure sales and purchasing, Perform Business Central operations"
d365-customer-insights-data-specialty,Intermediate,Dynamics 365,Data Analyst,Business applications,12 months,4/15/2024,11/30/2024,"Warning This certification and its renewal assessment will retire on November 30, 2024. You will no longer be able to earn or renew this certification after this date.Learn more about the new Microsoft Dynamics 365 customer experience credentials. As a candidate for this exam, you implement solutions that provide insights into customer profiles and that track engagement activities to help improve customer experiences.
You should have firsthand experience with: Dynamics 365 Customer Insights - DataMicrosoft Power QueryMicrosoft DataverseMicrosoft Azure Data Lake StorageAzure Data Factory pipelines You should also have direct experience with practices related to: Privacy, compliance, and consentSecurityResponsible AI As a candidate for this exam, you need experience with data processes related to: PreparationMatchingSegmentationEnhancementDeduplication You should have a general understanding of: Azure Machine LearningAzure Synapse AnalyticsAzure architecture","Describe Dynamics 365 Customer Insights – Data, Ingest data, Create customer profiles through data unification, Implement AI predictions, Configure measures and segments, Configure third-party connections, Administer Customer Insights – Data"
d365-customer-insights-journeys-functional-consultant,Intermediate,Dynamics 365,Functional Consultant,Business applications,12 months,3/20/2024,11/30/2024,"Warning This certification and its renewal assessment will retire on November 30, 2024. You will no longer be able to earn or renew this certification after this date.Learn more about the new Microsoft Dynamics 365 customer experience credentials. As a candidate for this certification, you’re a Microsoft Dynamics 365 Customer Insights - Journeys functional consultant. You’re responsible for implementing solutions that: Engage with and convert leads.Orchestrate marketing experiences.Personalize marketing messaging.Deliver marketing insights. You’re responsible for: Configuring the core marketing application to include segmentation, email and text message marketing, and interactive journeys.Lead nurturing with personalized experiences, events, surveys, lead scoring, and analytics.Maintaining compliance and consent policies. As a candidate, you should have some knowledge of marketing principles and the Dynamics 365 Customer Insights - Journeys application's role in relationship to the Dynamics 365 suite of applications, including interoperability with: Dynamics 365 Customer Insights - DataMicrosoft Power PlatformDynamics 365 Customer VoiceDynamics 365 SalesMicrosoft Teams You should understand: Industry terminologyIndustry processesBest practices","Configure Dynamics 365 Customer Insights – Journeys, Manage segments and preferences, Manage leads, contacts, and accounts, Manage marketing channels, Manage journeys, Manage events and webinars"
d365-functional-consultant-customer-service-v3,Intermediate,Dynamics 365,Functional Consultant,Business applications,12 months,3/18/2024,,"As a candidate for this certification, you’re a functional consultant with customer service expertise. You’re responsible for implementing solutions that focus upon: Customer serviceQualityReliabilityEfficiencyCustomer satisfaction You design and implement service management processes and automation in collaboration with solution architects and developers. You coordinate with customer engagement administrators to implement and upgrade customer service components including: Omnichannel engagementCollaborationKnowledge managementCustomer feedbackConnected services You must have strong applied knowledge of customer service including in-depth understanding of cases, knowledge management, queues, entitlements, resource scheduling, service-level agreements (SLAs), AI insights and visualizations, connected services, Microsoft Copilot Studio, Customer Service applications, Customer Voice, basic and unified routing, and Omnichannel for Customer Service. As a functional consultant, your knowledge should include: Comprehensive understanding of the customer service application's role in relationship to the Dynamics 365 suite of apps.Basic understanding of the solution architecture. Important The English language version of this certification will be updated on September 30, 2024. Review the study guide linked in the Certification resources section for details about upcoming changes.","Manage cases and Knowledge Management, Manage entitlements and SLAs, Implement scheduling, Implement multi-session experiences for Customer Service, Manage analytics and insights, Implement Microsoft Power Platform, Implement Connected Customer Service, Implement routing"
d365-functional-consultant-field-service,Intermediate,Dynamics 365,Functional Consultant,Business applications,12 months,1/12/2024,,"As a candidate for this certification, you’re a Microsoft Dynamics 365 Field Service functional consultant. You’re responsible for implementing solutions that: Schedule resources to meet customer requirements.Optimize resources by matching skills, locations, and availability.Equip frontline workers with the information and tools to deliver great service.Build a service history of customer assets. You’re responsible for: Configuring the default administration areas of the Field Service application.Configuring resources and scheduling.Configuring service agreements and booking setups.Managing work orders, incident types, and booking setups.Managing customer assets.Deploying and configuring the Field Service mobile app.Tailoring Field Service based on customer requirements. As a candidate, you should have a basic understanding of field service principles and the role the Field Service app plays in relationship to the Dynamics 365 suite of applications, including integration of: Microsoft Power PlatformDynamics 365 Customer ServiceMicrosoft 365 appsMicrosoft TeamsDynamics 365 Remote AssistDynamics 365 GuidesMicrosoft Azure IoT You should understand: Industry terminologyField service processesWork order lifecycleBest practices Important The English language version of this certification will be updated on September 30, 2024. Review the study guide linked in the Certification resources section for details about upcoming changes.","Configure field service applications, Manage work orders, Schedule and dispatch work orders, Manage the Field Service mobile app, Manage inventory and purchasing by using the built-in inventory management system, Manage Connected Field Service and customer assets, Implement Microsoft Power Platform"
m365-collaboration-communications-systems-engineer,Intermediate,Microsoft 365,Administrator,,12 months,7/22/2024,,"As a candidate for this certification, you’re responsible for planning, deploying, configuring, maintaining, and troubleshooting collaboration communication systems that include: Microsoft Teams PhoneMicrosoft Teams meetingsMicrosoft Teams PremiumMicrosoft Copilot in TeamsMicrosoft Teams RoomsOther certified and supported devices As a collaboration communications systems engineer, you have a fundamental understanding of networking, telecommunications, audio/visual and meeting room technologies, and identity and access management. You’re proficient in managing collaboration and communications solutions by using: Microsoft Teams admin centerMicrosoft Teams Rooms Pro Management portalPowerShellMicrosoft Call Quality Dashboard You work with: Microsoft Teams administratorsMicrosoft identity and access administratorsMicrosoft 365 administratorsOwners of other workloads, including facilities managers, network engineers, security engineers, device manufacturers, telephony providers, and Microsoft Certified solution providers","Plan and design collaboration communications systems, Configure and manage Teams meetings, webinars, and town halls, Configure and manage Teams Phone, Configure and manage Teams Rooms and devices"
m365-teams-administrator-associate,Intermediate,Microsoft 365,Administrator,,12 months,4/26/2024,,"As a Microsoft Teams administrator, you manage and maintain internal and external collaboration and communication solutions using Teams and Microsoft 365. You’re responsible for configuring and managing teams, channels, chat, apps, calling, meetings, and events. You manage: Phone numbers and services for Teams Phone.Operational aspects of Teams clients and devices. You collaborate with owners of other areas, including: NetworkingIdentityLicensingInformation managementUser adoptionSecurityCompliance You work with collaboration and communication system engineers to implement Teams device scenarios. You plan and implement governance, security, and compliance for Teams. As a candidate for this exam, you should have a working knowledge of Microsoft 365 services, including: Microsoft 365 groupsMicrosoft SharePointOneDriveMicrosoft ExchangeMicrosoft Defender XDRMicrosoft PurviewMicrosoft Entra ID You should understand the options for integrating and extending Teams with: Microsoft Copilot for Microsoft 365Microsoft VivaPower PlatformThird-party appsCustom apps","Configure and manage a Teams environment, Manage teams, channels, chats, and apps, Manage meetings and calling, Monitor, report on, and troubleshoot Teams"
microsoft-365-fundamentals,Beginner,Office 365,Administrator,,,4/15/2024,,"This exam is designed for you, if you’re looking to demonstrate foundational-level knowledge of cloud-based solutions to facilitate productivity and collaboration among on-site, remote, and hybrid workers. As a candidate, you may: Have knowledge of cloud-based solutions.Be new to Microsoft 365.You can use this exam to prepare for other Microsoft certifications, but it’s not a prerequisite for the related ones. As a candidate, you should be able to recommend Microsoft 365 solutions that address common organizational IT challenges. You should understand how Microsoft 365 solutions: Improve productivityFacilitate collaborationOptimize communicationsHelp secure dataIdentity and facilitate compliance You should be able to recommend solutions for: Endpoint and application managementDesktop virtualizationAutomated operating system deploymentReporting and analytics You should be familiar with Microsoft 365 licensing, deployment and migration assistance, and support options for organizations looking to maximize their investment in the cloud.","Describe cloud concepts, Describe Microsoft 365 apps and services, Describe security, compliance, privacy, and trust in Microsoft 365, Describe Microsoft 365 pricing, licensing, and support"
microsoft-certified-educator,Intermediate,Windows,Business User,,,,,"The Microsoft Certified Educator (MCE) certification validates that you have the global educator technology literacy competencies needed to provide a rich, custom learning experience for students. This certification is ideal for: Educators-in-trainingFaculty of teacher training collegesIn-service educators Microsoft offers a comprehensive e-learning curriculum, 21st Century Learning Design (21CLD), to help you prepare for this rigorous exam. Note This certification assesses whether educators understand how to apply technology tools in the six different content domains, not whether they are proficient in using specific technology tools. If you’re looking for information on getting certified to teach specific Microsoft products and technologies, visitMicrosoft Certified Trainer.","Facilitate student collaboration, Facilitate skilled communication, Facilitate self-regulation, Facilitate real-world problem solving and innovation, Facilitate student use of Information and Communication Tools (ICT), Use ICT to be an effective educator"
modern-desktop,Intermediate,Microsoft 365,Administrator,,12 months,4/26/2024,,"Warning The certification exam will change substantially on September 17, 2024. If you plan to take the exam on or after this date, please review carefully the study guide linked in theCertification resourcessection to understand the changes that will be made to the exam on that date. As a candidate for this certification, you have subject matter expertise deploying, configuring, protecting, managing, and monitoring devices and client applications in a Microsoft 365 environment. You’re responsible for: Managing identity, security, access, policies, updates, and apps for endpoints.Implementing solutions for efficient deployment and management of endpoints on various operating systems, platforms, and device types.Implementing and managing endpoints at scale by using Microsoft Intune, Windows 365, Windows Autopilot, Microsoft Defender for Endpoint, and Microsoft Entra ID. As an endpoint administrator, you collaborate with architects, Microsoft 365 administrators, security administrators, and other workload administrators to plan and implement a modern workplace strategy that meets the business needs of an organization. You must have experience with Microsoft Entra ID and Microsoft 365 technologies, including Intune, as well as strong skills and experience in deploying, configuring, and maintaining Windows client and non-Windows devices.","Deploy Windows client, Manage identity and compliance, Manage, maintain, and protect devices, Manage applications"
